milkshop_name,search_word,milk_lati,milk_longi,milkshop_link,milkshop_time,milkshop_time_mor,milkshop_time_nig,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty_one,twenty_two,twenty_three,s_six,s_seven,s_eight,s_nine,s_ten,s_eleven,s_twelve,s_thirteen,s_fourteen,s_fifteen,s_sixteen,s_seventeen,s_eighteen,s_nineteen,s_twenty,s_twenty_one,s_twenty_two,s_twenty_three
臺北101觀景店,迷客夏101,25.033944484445076,121.56476076913532,https://www.google.com.tw/maps/place/%E8%87%BA%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E4%BF%A1%E7%BE%A9%E8%B7%AF%E4%BA%94%E6%AE%B57%E8%99%9F89%E6%A8%93,10:00–21:00,10,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
臺北公館店,迷客夏Milksha 臺北公館店,25.015744343159703,121.53227488747609,https://maps.app.goo.gl/ubc8ytbN3cGDRQi56,10:00-22:00,10,22,0,0,0,0,0,9,27,54,36,27,45,54,63,45,18,18,0,0,0,0,0,0,0,9,27,9,9,0,0,9,18,36,18,9,0,0
臺北龍山寺店,迷客夏Milksha 萬華龍山寺店,25.0354342,121.4990228,https://goo.gl/maps/Hw247bhpaaxMSpz49,10:00–22:00,10,22,0,0,0,0,22,33,22,55,33,33,77,66,100,44,22,0,0,0,0,0,0,0,11,0,22,44,100,66,55,22,33,44,88,44,0,0
臺北忠孝復興店,迷客夏 臺北忠孝復興店,25.0427031,121.5443302,https://goo.gl/maps/5yLdN6AWyDR5kAvm7?coh=178572&entry=tt,10:00–22:00,10,22,0,0,0,0,17,21,39,26,26,13,4,0,13,26,60,47,0,0,0,0,0,0,39,8,0,8,21,52,30,34,21,21,21,43,0,0
臺北東區地下街店,迷客夏Milksha 臺北東區地下街店,25.0412903,121.5516179,https://goo.gl/maps/NsT5SPkQfgoZiho39,11:00-21:30,11,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
臺北南港站前店,迷客夏Milksha 臺北南港站前店,25.0557946,121.605967,https://goo.gl/maps/DGXMsNSxqNJTfmB56,平日10:00-21:00、假日10:00-20:00,10,21,0,0,0,0,14,45,80,100,80,68,48,57,51,40,40,0,0,0,0,0,0,0,8,17,14,17,40,48,57,37,20,14,0,0,0,0
臺北和碩店,迷客夏Milksha 臺北和碩店,25.12717695,121.47213185,https://goo.gl/maps/LajzCf96G6boMCSD8,平日：09:00-19:30 假日：休假,9,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
臺北通化店,迷客夏Milksha 臺北通化店,25.0319744,121.5543649,https://maps.app.goo.gl/foqya9jAfUs28Z8LA,10:00～22:30,10,22,0,0,0,0,6,40,60,93,93,73,93,46,20,6,0,6,0,0,0,0,0,0,0,46,46,60,53,26,20,33,26,33,13,6,0,0
臺北景美店,迷客夏Milksha 臺北景美店,24.9931303,121.5414954,https://maps.app.goo.gl/uRdSY5Tu3ykRUyRw8,10:00-22:00,10,22,0,0,0,0,8,8,25,16,25,41,83,75,41,25,16,41,0,0,0,0,0,0,83,75,66,25,8,8,25,16,0,0,16,16,0,0
臺北中山南西店,迷客夏 臺北中山南西店,25.0515173,121.5215043,https://maps.app.goo.gl/fKRrdbsg9MAihDBX8,平日：9:00-22:00 假日：9:00-22:00,9,22,0,0,0,8,25,16,25,25,8,8,8,25,16,0,0,8,0,0,0,0,0,66,33,41,50,50,33,25,41,16,8,0,0,0,0,0
臺北西門西寧店,迷客夏Milksha 臺北西門西寧店,25.044426,121.506284,https://maps.app.goo.gl/R7U3FgzpJiFP1Mgb7,平日：10:00-22:00 假日：10:00-22:00,10,22,0,0,0,0,23,7,0,15,30,69,38,30,38,38,15,0,0,0,0,0,0,0,7,0,0,0,7,23,7,0,0,0,0,0,0,0
臺北北醫莊敬店,迷客夏 臺北北醫莊敬店,25.0290906,121.5624556,https://maps.app.goo.gl/yZUSzvYwHeL19yTu6,平日：10:00-21:30 假日：10:00-21:30,10,21,0,0,0,0,18,45,45,27,36,45,27,9,0,0,9,27,0,0,0,0,0,0,45,27,36,45,36,54,45,45,9,9,9,18,0,0
臺北興隆店,迷客夏 臺北興隆店,24.9989303,121.556981,https://maps.app.goo.gl/HzHvwiriTua9DzRx6,平日：10:00-22:00 假日：10:00-22:00,10,22,0,0,0,0,0,0,4,12,12,24,20,24,48,68,88,64,40,0,0,0,0,0,36,80,100,84,68,52,44,44,52,68,72,56,28,0
臺北永吉店,迷客夏Milksha 臺北永吉店,25.0432159,121.5686969,https://www.google.com.tw/maps/place/11064%20%E5%8F%B0%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E6%B0%B8%E5%90%89%E8%B7%AF30%E5%B7%B7114%E8%99%9F,平日：09:00-22:00 假日：09:00-22:00,9,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
臺北遼寧店,迷客夏Milksha 臺北遼寧店,25.0486068,121.5420395,https://maps.app.goo.gl/HSdP4MbMrSM1PLNJ7,平日：09:00-22:00 假日：09:00-22:00,9,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,4,9,13,18,31,31,50,45,40,54,68,72,45,0,0
臺北虎林店,迷客夏 臺北虎林店,25.0400749,121.576914,https://maps.app.goo.gl/E1V1BAKcsMp8j5P9A,平日：10:00-22:00 假日：10:00-22:00,10,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,13,36,63,68,77,63,100,86,86,59,0,0,0
臺北伊通店,迷客夏 臺北伊通店,25.0528686,121.5346997,https://maps.app.goo.gl/fS5JV3bWC6Pj1DH38,平日：10:00-22:00 假日：10:00-22:00,10,22,0,0,0,0,19,39,66,64,52,43,33,19,15,9,7,0,0,0,0,0,0,0,0,33,41,37,45,41,47,39,39,31,25,0,0,0
臺北天母店,迷客夏 臺北天母店,25.1073414,121.5276157,https://maps.app.goo.gl/tVbTFPY65SmzjVja8,平日：09:00-22:30 假日：09:00-22:30,9,22,0,0,0,33,50,41,16,16,33,75,100,83,33,16,8,33,0,0,0,0,0,16,41,33,41,25,16,16,41,41,41,41,100,83,0,0
臺北南陽店,迷客夏Milksha 臺北南陽店,25.0442614,121.5161377,https://maps.app.goo.gl/HqsPkfNJLCy6RLmH8,平日：10:00-22:00 假日：10:30-21:30,10,22,0,0,0,0,23,56,81,78,43,24,28,55,76,63,0,0,0,0,0,0,0,0,0,47,85,94,75,52,40,47,50,46,0,0,0,0
臺北北投店,迷客夏 臺北北投店,25.1330829,121.5016116,https://maps.app.goo.gl/YVV7eYPTsubXNuFw5,平日：10:00-22:00 假日：10:00-22:00,10,22,0,0,0,0,40,64,70,68,54,58,72,80,82,72,54,0,0,0,0,0,0,0,78,86,80,62,60,60,70,76,78,72,54,0,0,0
臺北錦州店,迷客夏 臺北錦州店,25.060538052410937,121.54005747115103,https://maps.app.goo.gl/BqpuU4iQt39Z1oFn6,平日：10:30-21:00 假日：11:00-21:00,10,21,0,0,0,0,25,45,78,80,84,76,72,62,58,47,0,0,0,0,0,0,0,0,0,29,43,58,72,88,94,80,56,0,0,0,0,0
臺北士林店,迷客夏 臺北士林店,25.13472317,121.47355873,https://maps.app.goo.gl/BuHHZGJe6suTEJYHA,平日：10:00-22:30 假日：10:00-22:30,10,22,0,0,0,0,66,86,80,46,46,26,20,20,40,20,20,26,0,0,0,0,0,0,40,53,60,33,13,13,26,60,66,73,66,46,0,0
臺北瑞光店,迷客夏Milksha 臺北瑞光店,25.0687871,121.5864989,https://www.google.com.tw/maps/place/11466%20%E5%8F%B0%E5%8C%97%E5%B8%82%E5%85%A7%E6%B9%96%E5%8D%80%E6%B0%91%E6%AC%8A%E6%9D%B1%E8%B7%AF%E5%85%AD%E6%AE%B5100%E8%99%9F,平日：10:00-21:30 假日：11:00-21:00,10,21,0,0,0,0,4,19,47,42,19,4,0,14,42,61,57,0,0,0,0,0,0,0,0,28,23,28,66,80,100,85,85,80,71,0,0,0
臺北南昌店,迷客夏 臺北南昌店,25.0307524,121.5177771,https://maps.app.goo.gl/A5k1zFoqVGH3SFTr6,平日：10:00-22:30 假日：10:00-22:30,10,22,0,0,0,0,39,58,90,73,65,60,73,82,87,75,60,41,0,0,0,0,0,0,43,53,56,56,63,63,68,70,70,82,68,58,0,0
臺北南京店,迷客夏 臺北南京店,25.0512094,121.5609083,https://maps.app.goo.gl/zwt3d4KUtJizVEKB7,平日：10:00-22:00 假日：10:00-22:00,10,22,0,0,0,0,14,42,100,100,77,45,42,60,82,82,77,0,0,0,0,0,0,0,0,20,31,45,57,62,57,54,54,54,37,0,0,0
臺北石牌店,迷客夏 臺北石牌店,25.1153283,121.517775,https://maps.app.goo.gl/ajxDnqAWRaQThytF9,平日：10:00-22:00 假日：10:00-22:00,10,22,0,0,0,0,40,50,52,47,50,40,40,38,50,45,30,19,0,0,0,0,0,0,52,69,88,92,80,78,76,76,80,76,61,38,0,0
臺北農安店,迷客夏 MilkSha 臺北農安店,25.0648566,121.5237904,https://maps.app.goo.gl/skdNnvk8fBRoHyP37,平日：10:00-23:00 假日：10:00-23:00,10,23,0,0,0,0,56,100,86,66,60,53,40,30,23,13,13,13,0,0,0,0,0,0,0,66,80,66,63,56,60,63,56,40,40,30,0,0
臺北圓山店,迷客夏 臺北圓山店,25.0721509,121.5147971,https://maps.app.goo.gl/YhLC8fQQkkn1oJxWA,平日：10:00-22:00 假日：10:00-22:00,10,22,0,0,0,0,0,0,0,0,4,9,9,13,9,9,4,0,0,0,0,0,0,0,0,0,4,13,36,40,36,50,100,95,72,27,0,0
臺北延吉店,迷客夏 臺北延吉店,25.0387684,121.555251,https://maps.app.goo.gl/3GRWNDhkpcQjUMYH6,平日：09:30-22:30 假日：10:00-22:30,9,22,0,0,0,30,43,43,56,53,56,48,56,79,97,89,82,48,17,0,0,0,0,0,12,23,30,30,41,51,61,66,48,33,30,20,20,0
臺北西門町店,迷客夏 臺北西門町店,25.0419573,121.5072297,https://maps.app.goo.gl/y5yjJapEE6ZMKnxE9,平日：10:00-22:30 假日：10:00-22:30,10,22,0,0,0,0,7,13,23,23,26,30,46,59,69,63,63,38,0,0,0,0,0,0,15,32,53,75,82,92,100,100,84,71,61,38,0,0
臺北西湖店,迷客夏Milksha 臺北西湖店,25.0845978,121.5674589,https://maps.app.goo.gl/8GA3rXCpeRAiziPW6,平日：10:00-21:30 假日：10:00-21:30,10,21,0,0,0,0,70,41,41,29,29,41,47,35,41,58,35,35,0,0,0,0,0,0,29,47,47,58,64,70,70,58,35,23,11,11,0,0
臺北車站店 (櫃位門市),迷客夏Milksha 臺北車站店,25.046582,121.5163683,https://maps.app.goo.gl/AKRXbEMstoLpuos4A,平日：10:00-22:30 假日：10:00-22:30,10,22,0,0,0,0,11,14,29,26,38,73,76,91,76,64,29,14,0,0,0,0,0,0,35,26,32,20,8,11,17,35,44,44,61,58,0,0
臺北政大店,迷客夏Milksha 臺北政大店,24.9879789,121.5746215,https://maps.app.goo.gl/eHeo3sEMfwvvJxoa7,平日：10:00-22:00 假日：10:00-22:00,10,22,0,0,0,0,0,11,35,47,52,41,11,0,11,35,47,52,0,0,0,0,0,0,0,5,11,29,23,17,17,29,41,41,29,29,0,0
臺北昆陽店,迷客夏Milksha 臺北昆陽店,25.0500126,121.5930925,https://maps.app.goo.gl/GDuvhwfMWy7f4cjg9,平日：10:00-22:00 假日：10:00-22:00,10,22,0,0,0,0,38,46,30,23,15,30,30,46,23,7,7,7,0,0,0,0,0,0,30,23,38,30,15,15,38,76,76,69,76,46,0,0
臺北師大店,迷客夏臺北師大店,25.0243684,121.5286511,https://maps.app.goo.gl/mEZyBqCtK8tpR4VX9,平日：10:00-22:30 假日：10:00-23:30,10,22,0,0,0,0,21,50,78,64,53,42,42,60,71,53,39,17,17,0,0,0,0,0,39,53,57,50,39,57,71,100,96,78,67,57,35,0
臺北大直店,迷客夏Milksha 臺北大直店,25.0814509,121.5488014,https://maps.app.goo.gl/PcHQeB6UPJmd61av5,平日：10:00-22:00 假日：10:00-22:00,10,22,0,0,0,0,27,40,38,30,34,43,47,41,36,29,18,7,0,0,0,0,0,0,41,61,72,74,74,76,83,87,74,67,50,32,0,0
臺北華碩店 (櫃位門市),迷客夏Milksha 臺北華碩店,25.1270049,121.4708568,https://maps.app.goo.gl/75LtjMLJSNPQov4N7,平日：08:00-20:30 假日：休假,8,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
臺北時代百貨店 (櫃位門市),迷客夏 臺北時代百貨店,25.0406227,121.5654586,https://maps.app.goo.gl/wW4ChDGBntodKNdK8,平日：11:00-22:00 假日：11:00-22:00,11,22,0,0,0,0,0,60,32,20,36,28,32,16,12,4,0,12,0,0,0,0,0,0,0,48,28,24,24,28,20,20,8,4,8,8,0,0
