門市名稱,地址,營業時間,座標,電話,額外服務
七堵明德店,基隆市七堵區明德一路212號一樓,06:20~21:00,"25.097184669516718, 121.71229456503163",02-2456-9338,
三峽文化店,新北市三峽區文化路152號,07:00~22:00,"24.9362918,121.3704198",02-2673-3336,
三峽中華店,新北市三峽區中華路46號,06:30~22:00,"24.93039141,121.3718504",02-8672-2352,
三峽復興店,新北市三峽區復興路369號,07:00~22:00,"24.9385559,121.3634331",02-8672-2588,
宜蘭三星店,宜蘭縣三星鄉三星路四段360號,07:00~21:00,"24.6670845,121.6553971",03-989-1798,
宜蘭大洲店,宜蘭縣三星鄉五分路二段132號,07:00~22:00,"24.6931244,121.7314949",03-954-5432,
三義中正店,苗栗縣三義鄉中正路124號,07:00~21:00,"24.4134696,120.7718451",037-870-909,
三芝中正店,新北市三芝區中正路一段50號,06:30~22:00,"25.2581994,121.5035443",02-2636-8855,
三重仁政店,新北市三重區仁政街159號,07:00~24:00,"25.0794428,121.4914164",02-2985-1500,
三重中華店,新北市三重區中華路73號,07:00~24:00,"25.0625176,121.4837476",02-8983-3557,
三重重新店,新北市三重區重新路一段100號,07:00~24:00,"25.0632998,121.5012656",02-2970-6070,
三重中正店,新北市三重區中正北路344號,07:00~23:50,"25.0692182,121.4781236",02-2985-8586,
三重仁愛店,新北市三重區分子尾街45號1樓,07:20~22:00,"25.082060932025854, 121.48935426923964",02-2984-6268,
三重自強店,新北市三重區大智街49號,07:00~23:00,"25.0676724,121.4928747",02-2987-2185,
三重三和店,新北市三重區三和路四段272號,07:20~23:50,"25.0771589,121.485445",02-2286-9585,
台中自由店,台中市中區成功路152號,07:00~23:00,"24.1409719,120.6829052",04-2223-1177,
中和圓通店,新北市中和區中正路226號,07:00~23:00,"24.9940742,121.4963226",02-2243-5779,
中和宜安店,新北市中和區宜安路65號,07:00~23:00,"24.9970682,121.5111474",02-2941-8222,
中和員山店,新北市中和區員山路220號,06:00~23:00,"25.0009994,121.4813867",02-2228-9596,麵包烘培門市
板橋民德店,新北市中和區民德路1號,06:00~00:30,"24.9933181,121.4652446",02-8951-8586,麵包烘培門市
嘉義中埔店,嘉義縣中埔鄉中華路792-794號,07:00~22:00,"23.448574496984463, 120.45898451155522",05-230-9885,
中壢莊敬店,桃園市中壢區莊敬路178號,07:00~22:00,"24.9675683,121.2573355",03-2850171,
中壢晉元店,桃園市中壢區晉元路201號,06:30~22:00,"24.9509119,121.261505",03-283-0785,
中壢中山東店,桃園市中壢區中山東路三段48號,07:00~22:00,"24.9454286,121.2473766",03-437-3839,
中壢中原店,桃園市中壢區中山東路一段311號,早上06:00~凌晨01:00,"24.955438,121.236072",03-416-2666,
內壢中華店,桃園市中壢區中華路一段218號,06:30~22:00,"24.9733781,121.2589459",03-463-9861,
中壢龍慈店,桃園市中壢區後興路一段183號,07:00~22:00,"24.9412805,121.2454497",03-416-2378,
中壢龍岡店,桃園市中壢區龍東路257號,06:30~22:00,"24.9308687,121.2541742",03-436-2300、436-2600,
中壢民族店,桃園市中壢區民族路五段461號,07:00~22:00,"24.9578541,121.1666681",03-420-1127,
中壢壢中店,桃園市中壢區三光路84號,07:00~22:30,"24.9616814,121.211409",03-493-6286,
中壢福州店,桃園市中壢區中園路157號1樓,06:30~22:00,"24.968799777157987, 121.23586876088532",03-461-8555,
中壢青埔店,桃園市中壢區民權路四段512號,07:00-21:00,"25.0072175,121.2023511",03-2870138,
內壢長春店,桃園市中壢區長春路57號,平日(早上06:30~晚上21:00)假日(早上07:00~晚上21:00),"24.9785651,121.2492993",03-451-3566,
台北吉林店,台北市中山區吉林路201號,24小時(周一07:00開店),"25.0600165,121.5303673",02-2543-1472,
台北榮星店,台北市中山區龍江路358號1樓,07:00~24:00,"25.066085797621504, 121.54083694701612",02-2517-1525,
台北錦州店,台北市中山區錦州街28-8號,24小時(但每周一00:00-08:00休息),"25.0601906,121.52461953",02-2521-6708,
基隆新豐店,基隆市中正區新豐街300號,07:00~22:00,"25.1359209,121.7872187",02-2469-0985,
基隆義二店,基隆市中正區信一路173號,平日早上07:00~晚上22:30，假日早上07:30~22:30,"25.1304523,121.745174",02-2428-5063,
台南成功店,台南市中西區成功路515號,07:00~23:00,"23.0021905,120.1948764",06-350-4567,麵包烘培門市
彰化二林店,彰化縣二林鎮大成路一段537號,07:00~22:30,"23.8937411,120.3641443",04-896-7283,
宜蘭五結店,宜蘭縣五結鄉五結路三段3號,07:00~22:00,"24.6842309,121.7948903",03-950-1880,
五結中正店,宜蘭縣五結鄉中正路一段210號,07:30~21:00,"24.6919361,121.7701781",03-955-8181,
五股成泰店,新北市五股區成泰路二段156號1樓,06:30~24:00,"25.08402707148036, 121.43837722327301",02-8295-8385,麵包烘培門市
五股成洲店,新北市五股區成泰路三段437號1樓,07:00~22:00,"25.09790113426555, 121.44988825486041",02-8292-6567,
台南仁德店,台南市仁德區中山路479號,07:00~22:00,"22.9710335,120.2552054",06-249-5678,
基隆孝一店,基隆市仁愛區忠三路2號1樓,07:00~02:00,"25.128726835262427, 121.74043742662715",02-2427-7080,
高雄仁武店,高雄市仁武區中華路367號,07:30~23:00,"22.7011339,120.3540788",07-375-9876,
彰化伸港店,彰化縣伸港鄉新港路419號,06:30~21:45,"24.1513731,120.4867634",04-798-6888,
台南佳里店,台南市佳里區延平路212號,07:30~22:00,"23.1585998,120.1787726",06-723-3027,
基隆東信店,基隆市信義區東信路316號,平日早上07:00~晚上21:00，假日早上07:30~21:00,"25.128695,121.760364",02-2466-8000,
台北莊敬店,台北市信義區莊敬路416號,07:30~22:30,"25.027144,121.5662461",02-2722-2686,
台北永吉店,台北市信義區永吉路269號,07:00~23:00,"25.0456964,121.5753637",02-2748-5225,
屏東內埔店,屏東縣內埔鄉廣濟路317號,07:00~23:30,"22.6161507,120.565846",08-779-5678,
內湖文德店,台北市內湖區文德路2號1樓,早上06:30~晚上22:30，週日:早上06:30~晚上21:00,"25.078442547888745, 121.57883442742742",02-2799-7385,麵包烘培門市
桃園八德店,桃園市八德區介壽路一段796號,07:00~22:00,"24.9626349,121.2998626",03-2188568,
八德永豐店,桃園市八德區永豐路556號,06:30~21:00,"24.975255,121.2720489",03-369-0123,
八德豐田店,桃園市八德區豐田一路26號,07:00~21:30,"24.926855,121.2891786",03-3689371,
八德介壽店,桃園市八德區介壽路二段371號,06:30~22:00,"24.9478511,121.2977396",03-377-4848,
八德興豐店,桃園市八德區介壽路二段758號,07:00~22:00,"24.9374142,121.2972626",03-368-8750,
八里左岸店,新北市八里區龍米路三段2號,07:00~22:00,"25.1591253,121.4293219",02-26193636,
苗栗公館店,苗栗縣公館鄉大同路243號,06:30~21:30,"24.5053742,120.8269528",037-238-585,
台南六甲店,台南市六甲區民生街21號,06:45~22:00,"23.2271424,120.3515444",06-698-1785,
冬山廣興店,宜蘭縣冬山鄉廣興路237號,07:00~21:00,"24.6695835,121.7482027",03-961-5883,
宜蘭冬山店,宜蘭縣冬山鄉冬山路一段760號,07:00~21:30,"24.6297366,121.7984882",03-959-5385,
台南小北店,台南市北區西門路4段277號,07:00~24:00,"23.0133773,120.209173",06-281-7707,麵包烘培門市
新竹東大店,新竹市北區東大路三段684號一樓,07:00~23:00,"24.8402694397967, 120.9380663367209",03-5365085,
台中健行店,台中市北區健行路480號,07:00~23:00,"24.1593942,120.679819",04-2207-9200,麵包烘培門市
新竹中正店,新竹市北區經國路二段102號,07:00~23:00,"24.8119548,120.96418",03-542-4393,麵包烘培門市
台中北平店,台中市北區北平路2段78號,07:00~22:30,"24.171346,120.6745308",04-2299-0108、2298-6688,麵包烘培門市
中清經貿店,台中市北屯區中清路二段937號,07:00~24:00,"24.1883321,120.6622595",04-2426-8080,
台中東山店,台中市北屯區東山路一段156-10號,07:00~24:00,"24.1700809,120.7080979",04-2437-8485,
台中昌平店,台中市北屯區昌平路一段454號,06:30~24:00,"24.1767655,120.6905133",04-2247-2829,
台中崇德店,台中市北屯區崇德路2段1號,24小時,"24.1813934,120.6857928",04-2236-5678,24小時營業門市
關渡知行店,台北市北投區知行路299號,07:00~21:00,"25.1220669,121.4672023",02-2858-5813,
北投中和店,台北市北投區中和街335號,07:00~21:00,"25.1409554,121.4996722",02-2897-8385,
彰化北斗店,彰化縣北斗鎮中華路193號1樓,07:00~23:00,"23.87295595933507, 120.52408481237622",04-8886085,麵包烘培門市
雲林北港店,雲林縣北港鎮大同路129號,06:30~22:30,"23.5711961,120.3023649",05-773-0668,
台南健康店,台南市南區健康路2段222號,06:30~23:30,"22.9817494,120.1916844",06-223-0238,麵包烘培門市
興大圓廳店,台中市南區興大路145號(中興大學圓廳餐廳),平日07:30~21:00假日08:00~晚上19:00,"24.123354298856107, 120.67694829408957",04-2285-0292,
台南永成店,台南市南區中華南路二段2號,07:00~22:00,"22.96249,120.1952798",06-264-8628,
台中復興店,台中市南區復興路三段388號,07:00~23:00,"24.1342801,120.6828411",04-2227-1488,
台中高工店,台中市南區高工路388-9號,07:00~21:00,"24.1141774,120.6675729",04-2261-7799,
台中大業店,台中市南屯區大業路606號,06:30~23:00,"24.1539908,120.6348886",04-2252-1771,麵包烘培門市
台中嶺東店,台中市南屯區嶺東路680號,07:00~22:45,"24.1476151,120.6116567",04-2380-8889,
屏東南州店,屏東縣南州鄉三民路27號,08:00~21:00,"22.4899785,120.5102501",08-864-5558,
南投大同店,南投縣南投市大同南街109號,07:30~23:00,"23.9055672,120.6884359",049-220-0052,
南投中興店,南投縣南投市中學西路42-1號,07:00~21:00,"23.946754,120.6917394",049-239-0885,
台北中研店,台北市南港區研究院路一段110號,07:00~22:30,"25.0520436,121.6159164",02-2653-8085,
台北同德店,台北市南港區同德路26號,07:00~23:00,"25.0450795,121.584024",02-2785-3000,
馬祖南竿店,連江縣南竿鄉清水村84-11號,07:00~20:00,"26.160562028603977, 119.94342967774382",083-625-038,
名間彰南店,南投縣名間鄉彰南路23-3號,週日~週四06:30~20：30週五~週六06:30~21:00,"23.8365338,120.7038007",049-273-5885,
后里甲后店,台中市后里區甲后路一段570號,07:00~22:00,"24.3089866,120.7219725",04-25582285,
彰化和美店,彰化縣和美鎮鹿和路6段289號,07:00~23:00,"24.1076976,120.4940219",04-757-6085,
和美彰新店,彰化縣和美鎮彰新路三段187號,06:30~22:00,"24.1081329,120.528739",04-7350852,
宜蘭員山店,宜蘭縣員山鄉員山路一段121號,07:00~21:00,"24.746576,121.72896",03-922-7085,
員林靜修店,彰化縣員林市靜修路57號,07:00~23:00,"23.9621598,120.5675521",04-839-3085,
員林大同店,彰化縣員林市大同路一段205號,06:30~23:00,"23.9599804,120.5803168",04-839-0185,
員林員集店,彰化縣員林市員集路2段279號,06:30~21:30,"23.9422806,120.5762472",04-8330606,
善化中山店,台南市善化區中山路217號,07:00~22:00,"23.1323514,120.2990645",06-583-6215,
台積電14P店,台南市善化區南科北路1-1號,早上08:00~晚上19:00,"23.1142713,120.2745445",06-5056688 #714165,
土城延和店,新北市土城區延和路217號,07:00~22:00,"24.9897503,121.4699766",02-2261-7085,
土城裕民店,新北市土城區裕生路1號1樓,24小時,"24.987742545920963, 121.4486303666767",02-2274-7766,麵包烘培門市、24小時營業門市
彰化埔心店,彰化縣埔心鄉東門村中正路一段296號,07:00~23:00,"23.9515948,120.5441228",048-296-380,
埔里中正店,南投縣埔里鎮中正路275-2號,06:30~23:30,"23.9621963,120.9702705",049-298-2333,麵包烘培門市
埔里中山店,南投縣埔里鎮中山路三段224號,07:00~24:00,"23.9685118,120.9589929",049-298-5222,
彰化埤頭店,彰化縣埤頭鄉合興村斗苑西路185號,07:00~22:00,"23.891379,120.4609851",04-892-0085,
士林基河店,台北市士林區基河路133號,08:30~24:00,"25.0884847,121.5237492",02-2883-5596,
宜蘭壯圍店,宜蘭縣壯圍鄉中央路二段267號1樓,07:00~21:00,"24.746084502414295, 121.7859169303196",03-9388267,
外埔甲后店,台中市外埔區甲后路五段25號,07:00~22:00,"24.3418418,120.6383175",04-26863885,
大園菓林店,桃園市大園區菓林路85號,06:00~22:00,"25.075581,121.2582719",03-383-2233,
大園中山店,桃園市大園區中山南路1號1F,早上06:40~晚上22:00週五(早上07:00~晚上23:00),"25.06392012309427, 121.19721504646601",03-386-0885、386-0999,
台北和平東店,台北市大安區和平東路三段342號,08:00~23:00,"25.0196367,121.5573106",02-8732-3788,
科技大樓店,台北市大安區和平東路二段98號,07:00~22:00,"25.0249706,121.5414512",02-2732-7369,
大村山腳店,彰化縣大村鄉山腳路86號,07:00~21:00,"23.9906978,120.5851005",04-853-5557,
彰化大村店,彰化縣大村鄉中山路2段291號,07:00~22:00,"23.9886358,120.564154",04-852-1333,
嘉義大林店,嘉義縣大林鎮中山路237號,07:00~22:00,"23.6061553,120.4558914",05-264-8550,
桃園大溪店,桃園市大溪區復興路38號,07:00~21:30,"24.8801557,121.2896559",03-387-9338,
大溪員林店,桃園市大溪區員林路一段68號,06:30~22:00,"24.8987616,121.282212",03-390-8568,
大甲大甲店,台中市大甲區光明路84號,07:00~22:00,"24.3442204,120.6232404",04-2688-8333,
台中大肚店,台中市大肚區沙田路2段774號,07:00~23:00,"24.15399,120.544627",04-2698-1185,
大里新仁店,台中市大里區新仁路一段215-1號,07:00~22:00,"24.1106184,120.7012465",04-2276-8822,
大里草湖店,"台中市大里區中興路一段105號,107號",06:30~22:30,"24.082527520018818, 120.69722891850736",04-2496-9558,
大里仁化店,台中市大里區仁化路1號,06:00~21:30,"24.091433,120.7297574",04-2491-4616,
大里成功店,台中市大里區向學一路147號,06:30~23:00,"24.0916089,120.7032955",04-2495-2688,
大里中興店,台中市大里區中興路2段315號,06:00~23:00,"24.1102647,120.6897122",04-2486-5285,麵包烘培門市
大里永隆店,台中市大里區大明路490號,06:30~24:00,"24.1150057,120.6744571",04-2406-1516,
大雅學府店,台中市大雅區學府路382號,06:00~23:30,"24.2268157,120.6483249",04-2569-4888,麵包烘培門市
嘉義縣府店,嘉義縣太保市嘉朴東路一段20號,07:00~21:00,"23.4596325,120.2964121",05-362-5888,
嘉義太保店,嘉義縣太保市北港路二段102號,07:00~22:30,"23.49686,120.3814606",05-237-6885,
台中勤益店,台中市太平區中山路一段253號,07:00~22:00,"24.1435914,120.7337599",04-23931993,
太平中山店,台中市太平區中山路4段174號,07:00~21:00,"24.1482521,120.7030049",04-2392-4466,
太平太平店,台中市太平區太平路527號,週日～週四7:00-22:00週五、週六7:00-22:30,"24.125062,120.7134819",04-2276-1585,
台南學甲店,台南市學甲區華宗路306號,06:30~22:00,"23.2306563,120.1827661",06-783-2222,
台南安南店,台南市安南區海佃路一段336號,週一~週六：早上07:00~晚上22:00；週日：早上08:00~晚上22:00,"23.0270575,120.1911934",06-258-8567,
台南安和店,台南市安南區安和路二段282號,週一~週五：早上07:00~晚上21:30；週六~週日：早上07:30~晚上21:30,"23.041966,120.2162236",06-356-8580,
台南北安店,台南市安南區北安路二段660號,週一~週五：早上07:00~晚上22:30；週六~週日：早上08:00~晚上22:30,"23.0385736,120.2027697",06-247-6667,
台南華平店,台南市安平區華平路507號,週日~週四：早上07:00~晚上22:00；週五~週六：早上07:00~晚上23:00,"22.9937231,120.1752774",06-2987988,
基隆樂一店,基隆市安樂區樂一路2之1號,06:00~24:00,"25.1317747,121.7346428",02-2423-0758,
宜蘭復興店,宜蘭縣宜蘭市復興路一段92號,08:00~18:00,"24.7487768,121.750851",03-935-9935,
宜蘭站前店,宜蘭縣宜蘭市康樂路2號,24小時,"24.7556419,121.7577412",03-935-8585,24小時營業門市
宜蘭中山店,宜蘭縣宜蘭市中山路五段135號,07:00~21:00,"24.7702052,121.7565662",03-9283850,
高雄漢民店,高雄市小港區漢民路727、729號,06:30~23:00,"22.568127807597268, 120.36282714972322",07-803-8965,
屏東中正店,屏東縣屏東市中正路393號,06:30~23:00,"22.6860422,120.4954977",08-738-1288,麵包烘培門市
屏東和平店,屏東縣屏東市建國路123號,07:00~22:30,"22.6651593,120.4784875",08-752-2888,
岡山大義店,高雄市岡山區大義二路332號,07:00~23:00,"22.7869393,120.2861333",07-6268658,
高雄岡山店,高雄市岡山區壽天路37-3號,週一~週四：早上07:00~晚上22:00週五~週日：早上07:00~晚上22:30,"22.7965121,120.2930637",07-621-4143,
雲林崙背店,雲林縣崙背鄉正義路281-1號,07:00~22:00,"23.760964,120.3550456",05-696-1985,
高雄富國店,高雄市左營區富國路238號,07:00~23:00,"22.6624309,120.3066863",07-556-1689,麵包烘培門市
平鎮龍南店,桃園市平鎮區龍南路322號,06:30~22:00,"24.9220404,121.2508775",03-450-8532,
平鎮延平店,桃園市平鎮區延平路三段9號,07:00~22:00,"24.9417606,121.2059296",03-281-0909,
平鎮中豐店,桃園市平鎮區中豐路山頂段181號,06:30~22:00,"24.8999972,121.2111752",03-419-2246,
中壢振興店,桃園市平鎮區振興路24號,06:00~22:30,"24.9452403,121.219614",03-428-5631、428-5627,麵包烘培門市
平鎮金陵店,桃園市平鎮區和平路1號,07:00~22:00,"24.94937357,121.2227871",03-467-9933,
平鎮文化店,桃園市平鎮區文化街24巷2號,07:30~20:00,"24.955991,121.2028263",03-492-1228,
平鎮南京店,桃園市平鎮區南京路186號(上海路口),06:00~22:30,"24.91631866333071, 121.20623899170354",03-4397785,
平鎮義民店,桃園市平鎮區義民路148號,07:00~21:30,"24.9525817,121.2148715",03-495-0851,
中豐南勢店,桃園市平鎮區中豐路南勢二段89號,06:30~22:30,"24.9174055,121.2111353",03-439-2882,
彰化和平店,彰化縣彰化市和平路30號,06:30~23:00,"24.079419,120.540552",04-729-6767,
彰化彰基店,彰化縣彰化市旭光路331號,06:30~24:00,"24.0708036,120.5430968",04-727-6080,
彰化中正店,彰化縣彰化市中正路二段679號,07:00~23:00,"24.0670007,120.5351328",04-723-4886,
彰化中民店,彰化縣彰化市中民街93號,06:30~22:00,"24.083856745541414, 120.54730176728584",04-720-1185,
彰化彰鹿店,彰化縣彰化市莿桐里彰鹿路27號,07:00~22:30,"24.0628083,120.5188675",04-752-6685,
彰化大竹店,彰化縣彰化市彰南路二段199號,07:00~22:00,"24.0850997,120.5812199",04-738-6685,
彰化金馬店,彰化縣彰化市金馬路三段784號,07:00~23:00,"24.0758918,120.5305365",04-761-1663,
彰化大埔店,彰化縣彰化市大埔路400號,07:00~24:00,"24.0627935,120.5440143",04-713-5285,
彰化師大店,彰化縣彰化市中山路三段220號,07:00~22:30,"24.0859502,120.5587307",04-726-1585,
後龍中山店,苗栗縣後龍鎮中山路107號,07:00~23:00,"24.6140936,120.7906356",037-720285,
屏東恆春店,屏東縣恆春鎮西門路107-2號,08:30~21:00,"22.007978066191452, 120.74341432470918",08-889-8558,
文山興隆店,台北市文山區興隆路四段68-6號,早上07:00~晚上22:00(周日07:00-21:00),"24.984619232455852, 121.56148510781836",02-2937-2985,
台北景美店,台北市文山區景文街42號1樓,06:00~00:00,"24.991780182465217, 121.54121551834498",02-8663-7865,麵包烘培門市
斗六莊敬店,雲林縣斗六市莊敬路27號,07:00~22:00,"23.7041068,120.5509881",(05)535-3785,
斗六石榴店,雲林縣斗六市石榴路85號,07:00~22:00,"23.7229513,120.5834578",05-557-2885,
斗六民生南店,雲林縣斗六市民生南路226號,07:00~21:00,"23.7001826,120.5368772",05-537-2828,
斗六西平店,雲林縣斗六市西平路187號,06:30~22:00,"23.7126243,120.534294",05-537-7085,
斗南延平店,雲林縣斗南鎮延平路二段536號,07:00~23:00,"23.6722764,120.4758989",05-597-8538,
花蓮北埔店,花蓮縣新城鄉光復路468號,07:00~22:00,"24.0364312,121.6052214",03-826-0088,
新埔中正店,新竹縣新埔鎮四座里中正路203號,07:00~21:00,"24.827347,121.0810532",03-589-1108,
新屋中山店,桃園市新屋區中山東路一段86號,06:30~22:30,"24.9701226,121.1148456",03-477-0990,
台南新市店,台南市新市區復興路5號,07:00~22:00,"23.0798817,120.2953739",06-599-1681,
新店安康店,新北市新店區安德街173號（安康路口）,09:00~22:00,"24.95899204091918, 121.50876419681589",02-2211-8208,
新店安和店,新北市新店區安和路2段207號,07:00~22:00,"24.9752615,121.5177129",02-2212-9159,
新店三民店,新北市新店區三民路187號,08:00~20:00,"24.9754458,121.5350592",02-2912-0806,
新港奉天店,嘉義縣新港鄉中山路85-5號,07:00~22:00,"23.5542934,120.347497",05-374-8585,
台南新營店,台南市新營區民權路71號,06:30~23:00,"23.3070389,120.3123507",06-637-9985,麵包烘培門市
新社興安店,台中市新社區興安路22號,07:00~21:00,"24.2411417,120.808247",04-2581-9997,
新莊龍安店,新北市新莊區八德街151號,07:00~23:00,"25.019689,121.423588",02-8201-9977,
新莊富國店,新北市新莊區裕民街2號,07:00~24:00,"25.0260433,121.4192623",02-2903-0088,
新莊幸福店,新北市新莊區福壽街76號,24小時,"25.0495543,121.4583687",02-2277-5001,24小時營業門市
