門市名稱,地址,營業時間,座標,電話,額外服務
新莊建安店,新北市新莊區建安街103號,06:30~22:00,"25.0240634,121.4266542",02-2206-8106,
新莊昌平店,新北市新莊區昌平街57號,07:00~21:30,"25.0529883,121.4545884",02-8992-8953,
新莊民安店,新北市新莊區民安西路86號,06:30~22:00,"25.0196392,121.4268953",02-2206-9980,
新莊中平店,新北市新莊區中平路84號,06:30~22:00,"25.0449815,121.4448958",02-8201-2000,麵包烘培門市
新豐建興店,新竹縣新豐鄉建興路一段146-6號,07:00~21:30,"24.8736799,120.9947646",03-557-5899,
高雄旗山店,高雄市旗山區華中街7號,07:00~22:50,"22.8880368,120.4818187",07-662-7722,
基隆暖暖店,基隆市暖暖區東勢街2-2號,早上07:00~晚上21:30,"25.1006061,121.7359059",02-2457-2485,
嘉義朴子店,嘉義縣朴子市大同路169號,07:00~22:00,"23.4611076,120.2425714",05-370-8585,
台中東勢店,台中市東勢區豐勢路334號,07:00~22:00,"24.2534162,120.8297925",04-2588-5511,麵包烘培門市
嘉義民族店,嘉義市東區民族路189號1樓,06:00~23:00,"23.476465362510123, 120.45638833357108",05-227-9898,
嘉義中山店,嘉義市東區中山路111號,07:00~22:00,"23.481887552586674, 120.45753865589884",05-271-0885,
台南中華東店,台南市東區中華東路三段229號,06:30~23:00,"22.9756451,120.224964",06-289-7188,麵包烘培門市
新竹食品店,新竹市東區東南街197號,06:30~22:30,"24.7962557,120.9753093",03-573-5685,麵包烘培門市
新竹光復店,新竹市東區光復路一段523-1號,07:00~22:00,"24.7845896,121.0137518",03-577-5185,
嘉義新生店,嘉義市東區新生路721號,07:00~22:30,"23.4954376,120.454947",05-271-3268,
新竹南大店,新竹市東區南大路545號,07:00~21:00,"24.7910868,120.9646186",03-5623185,
台中樂業店,台中市東區樂業路450號,周一~四06:30-23:00週五~六24小時週日00:00-23:30,"24.1365001,120.706404",04-2213-5248,麵包烘培門市
新竹迎曦店,新竹市東區東門街105號,07:00~22:00,"24.8041045,120.9692728",03-5278585,
台北光復北店,台北市松山區光復北路167號,07:30~24:00,"25.0573953,121.5557078",02-2747-0885,
板橋大仁店,新北市板橋區大仁街16號,07:00~22:00,"25.0170035,121.4557349",02-2271-0077,
板橋四維店,新北市板橋區四維路126號,07:00~22:00,"25.0251301,121.4653687",02-8251-1986,
板橋重慶店,新北市板橋區重慶路218號,07:00~23:00,"25.0021535,121.4625927",02-8951-8545,
板橋大同店,新北市板橋區雙十路二段10號1樓,07:00~23:00,"25.026775161086157, 121.47665815920035",02-8258-1509,
板橋中山店,新北市板橋區中山路一段266號1樓,07:30~22:00,"25.014700657687865, 121.47186964689435",02-2957-8855,
板橋南雅店,新北市板橋區新興路2號,07:00~23:00,"25.00727099,121.45635001",02-2966-8220,
板橋國光店,新北市板橋區國光路189號,07:00~00:00,"25.0185484,121.4611578",02-2969-9888,
板橋莒光店,新北市板橋區莒光路64號,07:00~23:00,"25.0240845,121.4711344",02-2258-0388,麵包烘培門市
樹林金門店,新北市板橋區溪北路172號,07:00~22:00,"24.9878703,121.4309549",02-8675-3185,
屏東枋寮店,屏東縣枋寮鄉中興路22號,07:00~22:00,"22.3669852,120.5932864",08-878-8985,
林口竹林店,新北市林口區竹林路35號,07:30~22:00,"25.0775719,121.3867655",02-8601-1877,
台南柳營店,台南市柳營區中山西路1段1號,週一~週六：早上07:00~晚上22:00；週日：早上08:00~晚上22:00,"23.279047983452063, 120.32497000822039",06-622-6337,
桃園永安北店,桃園市桃園區永安北路468號,07:00~22:30,"25.01806953470197, 121.2928095474783",03-301-1047,
桃園力行店,桃園市桃園區力行路34號,07:00~22:30,"25.0029328,121.3043933",03-335-0350,
桃園春日店,桃園市桃園區春日路236號,07:00~21:30,"24.99836,121.3152147",03-3396166,
桃園英業達店,桃園市桃園區大智路88號,08:00~18:00,"24.9785837,121.3266915",0926-306-862,
桃園北興店,桃園市桃園區中正路346號,24小時,"24.9983418,121.3088822",03-332-4802,24小時營業門市
桃園中山(縣府)店,桃園市桃園區中山路404號,07:00~22:00,"24.9921603,121.3033624",03-336-2769,
桃園大業店,桃園市桃園區大業路一段156號1F,早上07:00~晚上22:00週五(早上07:00~晚上23:00),"25.007479556399925, 121.31605062176158",03-316-8195,
桃園龍安店,桃園市桃園區龍安街142號,早上06:00~晚上23:00,"24.9908862,121.2798306",03-217-2512,
桃園國際店,桃園市桃園區國際路一段1200號,06:30~22:00,"24.9892215,121.2890366",03-220-5585,
桃園陽明店,桃園市桃園區介壽路210號,07:00~21:30,"24.983105,121.30855",03-3630283,
桃園桃德店,桃園市桃園區桃德路41號,07:00~22:00,"24.9657601,121.2943621",03-366-0766,
桃園桃鶯店,桃園市桃園區桃鶯路70-3號,07:00~22:00,"24.9861304,121.3178576",03-375-7673,
梧棲文化店,台中市梧棲區文化路2段138號,07:00~21:30,"24.2550669,120.5308834",04-2658-0606,
梧棲中央店,台中市梧棲區中央路一段825號,07:00~22:00,"24.2456201,120.5374247",04-2658-2385,
埔心文化店,桃園市楊梅區文化街259號,07:00~23:00,"24.9109202,121.1831329",03-4822811,
楊梅環東店,桃園市楊梅區環東路438號,07:00~22:30,"24.9097804,121.1572781",03-478-6088,
楊梅行善店,桃園市楊梅區中山北路一段77號,06:30~22:00,"24.9074785,121.1516926",03-485-0685,
楊梅埔心店,桃園市楊梅區永美路200號,06:30~22:00,"24.9197279,121.1840958",03-481-1880,
楊梅新成店,桃園市楊梅區新成路165號,07:00~20:30,"24.9092737,121.1468977",03-478-7111、478-7222,
高雄右昌店,高雄市楠梓區德民路903號,07:00~24:00,"22.7209938,120.2898466",07-360-0100,
楠梓建楠店,高雄市楠梓區建楠路116號1樓,07:00~22:00,"22.727077960434706, 120.32758864702647",07-351-3385,
樹林中華店,新北市樹林區中華路68號,07:00~23:00,"24.9818129,121.4199981",02-8686-7301,
樹林保安店,新北市樹林區保安街一段59號,07:00~22:00,"24.9948143,121.4234474",02-2675-0898,
樹林中山店,新北市樹林區中山路一段94號1F,06:00~23:00,"24.991266337626854, 121.42309910660289",02-2684-1585,麵包烘培門市
橋頭成功店,高雄市橋頭區成功北路71號,07:00~22:30,"22.7637268,120.3073831",07-611-2193,
台南歸仁店,台南市歸仁區中山路二段179號,07:00~22:00,"22.9670105,120.2901391",06-330-7700,
民雄建國店,嘉義縣民雄鄉建國路三段164號,07:00~22:30,"23.5236646,120.4396793",05-221-2152,
嘉義民雄店,嘉義縣民雄鄉中樂路87號,07:00~23:00,"23.5562004,120.4293085",05-226-8053,
嘉義水上店,嘉義縣水上鄉中山路2段402號,06:45~21:30,"23.4339005,120.3988337",05-268-9676,
南投水里店,南投縣水里鄉中山路1段532號,週日~週四早上07:00~晚上21:00週五~週六早上07:00~晚上21:30,"23.811307710149492, 120.85069440915716",049-287-1085,
永和保平店,新北市永和區保平路22號,06:00~24:00,"25.00757504433864, 121.51242458725928",02-2929-7275,麵包烘培門市
永和頂溪店,新北市永和區永和路二段105號1F,06:30~22:30,"25.011898546352104, 121.51487353826911",02-2920-9598,麵包烘培門市
永和得和店,新北市永和區得和路320號,06:00~23:00,"24.99947,121.523047",02-2946-4068,
永康南科店,台南市永康區中正北路58號,週一~週五:早上07:00~晚上22:00；週六~週日:早上07:30~晚上22:00,"23.041328,120.2405136",06-243-7885,
永康崑山店,台南市永康區大灣路802號,週六~週四：早上07:00~晚上23:00；週五：早上07:00~晚上23:30,"23.0002776,120.2586508",06-205-5193,
永康中華店,台南市永康區大橋里中華路826號,06:30~23:00,"23.0185442,120.2267331",06-302-2720,麵包烘培門市
永康永明店,台南市永康區永明街88號,07:00~23:00,"23.0251951,120.2598655",06-201-6222,
彰化永靖店,彰化縣永靖鄉中山路一段805號,07:00~22:00,"23.918399,120.546092",04-823-6785,
汐止中興店,新北市汐止區中興路141號1樓,07:00~22:30,"25.065590947458176, 121.63149077837674",02-2692-5885,
汐止樟樹店,新北市汐止區樟樹一路121號,07:00~22:00,"25.0644249,121.6420245",02-2691-8867,
汐止建成店,新北市汐止區建成路37巷1號,06:30~22:00,"25.072753,121.6637461",02-2643-4585,麵包烘培門市
台中沙鹿店,台中市沙鹿區中山路417號,07:00~22:00,"24.2420688,120.560941",04-2663-3355,
沙鹿英才店,台中市沙鹿區英才路12號,07:00~23:00,"24.2269409,120.5748725",04-26310115,
全興明志店,新北市泰山區明志路1段346號1樓,07:00~23:00,"25.058568102613744, 121.43091291751585",02-2998-2180,
淡水中山店,新北市淡水區中山北路一段149巷15號,07:00~23:00,"25.1778934,121.442784",02-2629-5285,
台中清水店,台中市清水區北寧街82號,06:30~23:00,"24.2722359,120.577073",04-2623-3885,麵包烘培門市
湖口忠孝店,新竹縣湖口鄉忠孝路17號,星期一~星期五07:00~22:00星期六、星期日、國定假日7:30~22:00,"24.9010111,121.0445446",03-599-1085,
湖口中華店,新竹縣湖口鄉中華路24號,06:30~22:00,"24.8722762,121.0101476",03-598-0085,
溪湖平和店,彰化縣溪湖鎮平和街153號,07:00~22:30,"23.9558829,120.4794599",04-881-8688,
台中潭子店,台中市潭子區勝利路219號,07:30~23:00,"24.2120103,120.7004407",04-2533-4085,
潭子中山店,台中市潭子區中山路一段298-21號,07:00~21:00,"24.194342,120.702678",04-2535-2185,
烏日中山店,台中市烏日區中山路二段154號,06:00~23:00,"24.1064073,120.6248991",04-2338-5285,
台中成功嶺店,台中市烏日區中山路3段502號,早上07:00~晚上20:00(週六、日休息),"24.1133729,120.6010889",04-2336-0221,
烏日明道店,台中市烏日區中山路一段321號,07:00~23:00,"24.1087178,120.6415806",04-2338-6850,麵包烘培門市
花蓮玉里店,花蓮縣玉里鎮中山路一段100號,07:00~21:00,"23.3288256,121.3167411",03-888-9288,
瑞芳明燈店,新北市瑞芳區明燈路三段35號,07:00~22:30,"25.1078281,121.8072204",02-2406-3322,
彰化田中店,彰化縣田中鎮斗中路一段108號,07:00~22:00,"23.8609038,120.5827583",04-874-6299,
田尾中山店,彰化縣田尾鄉中山路一段191號,07:00~22:00,"23.8874367,120.5245374",04-883-0285,
台南白河店,台南市白河區中山路1-25號,06:30~22:00,"23.3464993,120.4129351",06-683-0085,
白河南測店(營區店，不對外營業),台南市白河區內角里2號,07:00~21:00,"23.3967598,120.4439809",06-681-6385,
彰化社頭店,彰化縣社頭鄉清水岩路400號,07:00~23:00,"23.8992685,120.588648",04-872-8585,
神岡中山店,台中市神岡區中山路747號1樓,07:00~23:00,"24.24960266722369, 120.67827884743903",04-25621185,
花蓮秀林店,花蓮縣秀林鄉95-5號,08:00~21:00,"24.156544151607914, 121.6502166439092",03-862-1186,
彰化秀水店,彰化縣秀水鄉彰水路1段117號,07:00~22:30,"24.0371029,120.50191",04-768-3085,
竹北福興店,新竹縣竹北市福興東路一段302號,07:00~22:00,"24.8180088,121.0233423",03-667-0988,
竹北博愛店,新竹縣竹北市中正東路219號,07:30~21:00,"24.8350341,121.0145461",03-656-0999,
竹北台元店,新竹縣竹北市台元一街7號,08:00~20:00(六日休息),"24.8416372,121.0177126",03-560-1331,
竹南龍山店,苗栗縣竹南鎮龍昇街2號,07:00~22:30,"24.6960156,120.8683819",037-551-162,
竹南大埔店,苗栗縣竹南鎮大埔街146號,07:00~22:00,"24.712591,120.9066219",037-583638,
竹南光復店,苗栗縣竹南鎮光復路172號,06:30~22:00,"24.6877315,120.8793426",037-484-765,麵包烘培門市
南投竹山店,南投縣竹山鎮昭德街18號,07:00~22:00,"23.7580055,120.6866582",049-263-6385,
嘉義竹崎店,嘉義縣竹崎鄉和平村田寮64號,07:00~22:00,"23.5166296,120.5482188",05-261-7787,
竹東中豐店,新竹縣竹東鎮中豐路二段21號,07:00~21:30,"24.7218704,121.0958535",03-596-2006,
竹東長春店,新竹縣竹東鎮長春路3段227號,07:30~21:30,"24.7447172,121.082419",03-511-1429,
羅東北成店,宜蘭縣羅東鎮四育路79號,7:00~23:00,"24.6782193,121.760129",03-951-6995,
羅東民權店,宜蘭縣羅東鎮民權路138號,06:45~23:00,"24.6764988,121.7664232",03-954-4868,
羅東站前店,宜蘭縣羅東鎮公正路78號,24小時,"24.6781726,121.7724373",03-957-8585,24小時營業門市
羅東光榮店,宜蘭縣羅東鎮中山路二段337-1號,07:00~23:00,"24.6744682,121.7780413",03-960-5805,
羅東南門店,宜蘭縣羅東鎮南門路15號,24小時,"24.6727524,121.7696137",03-954-8585,24小時營業門市
台東更生店,台東縣臺東市更生路735號,07:00~23:00,"22.7677803,121.1363284",089-231-770,
台東中華店,台東縣臺東市中華路一段401號,週日~週四：早上07:30~晚上22:30；週五~週六：早上07:30~晚上23:00,"22.753598,121.1526405",089-360-033,
彰化芬園店,彰化縣芬園鄉彰南路四段449號,07:00~23:00,"24.0197715,120.6261372",049-2523885,
彰化花壇店,彰化縣花壇鄉中山路一段373號,07:00~22:00,"24.0237496,120.5412545",04-788-3301,
花蓮和平店,花蓮縣花蓮市和平路460號,07:00~23:00,"23.9762389,121.601858",03-832-5178,
花蓮林森店,花蓮縣花蓮市林森路212號,07:00~22:00,"23.98074859,121.6046688",03-836-0203,
苑裡中山店,苗栗縣苑裡鎮中山路116號,07:00~22:30,"24.4421238,120.6513682",037-864-985,
苗栗為公店,苗栗縣苗栗市為公路309號,07:00~22:00,"24.5715954,120.8305586",037-271-222,
苗栗中正店,苗栗縣苗栗市中正路905號,07:00~22:30,"24.551637,120.816093",037-334-777,
苗栗府東店,苗栗縣苗栗市府東路91號,07:00~22:00,"24.562819,120.821517",037-373511,
高雄茄萣店,高雄市茄萣區茄萣路二段381號,07:00~21:00,"22.9056605,120.1834146",07-6906185,
草屯中山店,南投縣草屯鎮碧山路159-1號,07:00~23:00,"23.9778562,120.6830004",049-232-8123,
草屯虎山店,南投縣草屯鎮虎山路652號,07:00~22:30,"23.972661,120.6863218",049-232-8223,
雲林莿桐店,雲林縣莿桐鄉西安路33號,06:30~22:00,"23.7594779,120.4987532",05-5846685,
屏東萬丹店,屏東縣萬丹鄉萬全村萬丹路一段293號,07:00~23:00,"22.5903323,120.4889503",08-777-0853,
台北西門店,台北市萬華區漢中街151號,平日早上07:30~晚上21:50，假日早上08:00~晚上10:50,"25.0416534,121.5072783",02-2389-6622,
萬華廣州店,台北市萬華區廣州街207號,06:00~24:00,"25.0367338,121.5002618",02-2336-7992,麵包烘培門市
台北寶興店,台北市萬華區寶興街92號,24小時,"25.0258841,121.4942945",02-2332-8882,24小時營業門市
萬里野柳店,新北市萬里區港東路65-1號,07:00~19:00,"25.2039453,121.6878662",02-2492-5800,
蘆洲復興店,新北市蘆洲區復興路21號,07:00~23:00,"25.0870836,121.475605",02-8281-2727,
蘆洲長安店,新北市蘆洲區長安街225號1樓,07:30~23:00,"25.082598679315687, 121.45957742047713",02-2288-0968,
蘆洲光華店,新北市蘆洲區光華路174號,07:00~23:00,"25.0821883,121.4651502",02-2285-3808,
蘆竹海山店,桃園市蘆竹區海山路2號,06:30~22:00,"25.085709,121.2863003",03-324-6699,
南崁南竹店,桃園市蘆竹區南竹路一段41號,06:00~22:00,"25.0468682,121.2914387",03-222-5151,麵包烘培門市
桃園福竹店,桃園市蘆竹區大竹路495號,07:00~23:00,"25.0223123,121.2614155",03-323-0685,
宜蘭蘇澳店,宜蘭縣蘇澳鎮中山路一段17號,07:00~21:00,"24.5960604,121.8527627",03-996-4009,
雲林虎尾店,雲林縣虎尾鎮林森路一段430號,07:00~22:00,"23.7106733,120.4350154",05-636-2122,
台中英才店,台中市西區英才路462號,07:00~22:30,"24.1524123,120.6659053",04-2329-5168,
嘉義友愛店,嘉義市西區友愛路161號,06:30~23:00,"23.480854,120.4338374",05-231-9125,麵包烘培門市
嘉義世賢店,嘉義市西區世賢路四段120號,06:30~22:30,"23.4616891,120.4436192",05-285-5566,
嘉義站前店,嘉義市西區仁愛路578-1號,07:00~22:30,"23.4785412,120.4419854",05-223-7888,
台中西屯店,台中市西屯區西屯路3段148-43號,07:00~23:00,"24.185934,120.623539",04-2462-6285,
台中青海店,台中市西屯區青海路一段172號,06:30~22:00,"24.1655542,120.6530693",04-2317-9105,
台中友達店,台中市西屯區中科路1號,週一至五07:00~20:00週六至週日10:00~19:00,"24.2073537,120.6144545",0956-551-857,
台中河南店,台中市西屯區河南路二段282號,07:00~24:00,"24.1749608,120.6487646",04-2706-5595,
台中漢口店,台中市西屯區漢口路二段219號,07:00~24:00,"24.1665348,120.6640358",04-2315-0989,麵包烘培門市
西螺中山店,雲林縣西螺鎮中山路99-1號,07:00~22:00,"23.7999573,120.4620997",05-587-5858,
觀音成功店,桃園市觀音區成功路一段583號,07:00~22:00,"25.0547793,121.1234451",03-4831530,
觀音新坡店,桃園市觀音區新華路二段617號,06:00~22:15,"25.011788,121.1375146",03-282-4888,
觀音草漯店,桃園市觀音區大觀路一段562號,07:00~22:00,"25.0491209,121.1443508",03-4839699,
豐原南陽店,台中市豐原區南陽路436號,07:00~22:30,"24.2474202,120.7239961",04-2522-0156,
豐原中興店,台中市豐原區中興路242-3號,07:00~23:00,"24.246218232203567, 120.71099741475082",04-2515-4573,
豐原廟東店,台中市豐原區源豐路17號,06:30~23:30,"24.2519605,120.7152671",04-2528-5885,
路竹忠孝店,高雄市路竹區中山路935號,07:15~21:00,"22.8603426,120.2594888",07-696-8753,
苗栗通霄店,苗栗縣通霄鎮中山路223號,07:00~22:00,"24.4913479,120.6789336",037-757008,
金門民族店,金門縣金城鎮民族路252號,07:30~21:00,"24.43034646910403, 118.31544231310345",082-373-168,
金山中山店,新北市金山區中山路106號,07:00~21:00,"25.2192997,121.6400025",02-2498-2888,
金門山外店,金門縣金湖鎮太湖路武德新莊5號,07:30~21:00,"24.440136128703223, 118.41464436531734",082-332-977,
銅鑼中正店,苗栗縣銅鑼鄉中正路99號,早上07:00~晚上21:00,"24.486075,120.786832",037-983333,
台南關廟店,台南市關廟區中正路969號,07:00~22:00,"22.9624377,120.3283332",06-596-2555,
關西正義店,新竹縣關西鎮明德路108號,週一~五：早上07:45~晚上21:00；週六、日：早上08:00~晚上21:00,"24.79369680599021, 121.17614510696673",03-587-5899,
霧峰吉峰店,台中市霧峰區吉峰路100號,07:00~22:00,"24.0764475,120.7080566",04-2330-6993,
頭份建國店,苗栗縣頭份市建國路66-2號,06:30~22:00,"24.6943772,120.9124156",037-685-801,
頭份中正店,苗栗縣頭份市中正路76號,07:00~22:00,"24.6844506,120.9074262",037-696-536,
頭份中央店,苗栗縣頭份市中央路400號,06:30~22:00,"24.6935557,120.899526",037-690-869,
頭城青雲店,宜蘭縣頭城鎮青雲路三段128號,"週一~週五：早上07:30~晚上20:30；週六:早上07:30~21:00,週日：早上07:30~晚上20:30","24.8565221,121.824643",03-977-2684,
新竹中山店,新竹市香山區中山路550號1樓,07:00~21:30,"24.797958734995387, 120.95604981377564",03-539-8018,
新竹中華店,新竹市香山區中華路4段568號,07:00~22:00,"24.7891036,120.9301529",03-538-8815,
鳳山中山店,高雄市鳳山區中山西路306號,週一~週四08:00~24:00週五~週六08:00~01:00週日08:00~24:30,"22.6283343,120.3439703",07-746-0711,
鳳山五甲店,高雄市鳳山區五甲二路493號,06:30~23:00,"22.5962847,120.3333588",07-831-0330,麵包烘培門市
鳳山文龍店,高雄市鳳山區文龍東路692號,06:30~23:00,"22.6426022,120.3550368",07-7679985,麵包烘培門市
鶯歌鶯桃店,新北市鶯歌區鶯桃路656號,07:00~23:30,"24.9691277,121.3292484",02-2679-9555,
鶯歌國慶店,新北市鶯歌區建國路154號,早上06:45~晚上22:00(星期一~六)/早上7:15~22:00(星期日),"24.953840628279217, 121.35076923506385",02-2670-9603,
台南鹽水店,台南市鹽水區忠孝路110號,06:30~22:00,"23.3112036,120.2727619",06-652-1085,
鹿港鹿和店,彰化縣鹿港鎮鹿和路三段523.525號,07:00~23:00,"24.08439930521613, 120.47809631207097",04-7722285,
鹿港中正店,彰化縣鹿港鎮中正路299號,07:00~22:00,"24.0568116,120.439972",04-776-5485,
彰濱秀傳店,彰化縣鹿港鎮鹿工路6號,週一~週五：早上08:00~晚上21:00；週六：早上08:00~下午17:00；週日：早上08:00~下午16:30,"24.078153950132805, 120.41135715521578",04-781-2685 / 781-3888 轉 71185,
鹿港民族店,彰化縣鹿港鎮民族路153號,07:00~22:00,"24.0544361,120.434774",04-776-7885,
雲林麥寮店,雲林縣麥寮鄉中興路23號,06:30~22:00,"23.750882,120.251266",05-693-5115,
台南麻豆店,台南市麻豆區中山路163號,07:00~22:00,"23.1839053,120.2434593",06-572-6788,
台中東海店,台中市龍井區新興路7巷2-1號(東海商圈內),周一~六:早上06:30~晚上22:30。周日:早上07:00~晚上22:30,"24.181159767451103, 120.59147456045505",04-2633-5885,
龍井中央店,台中市龍井區中央路二段128號,07:00~23:00,"24.206438,120.5235891",04-2639-8685,
龍潭北龍店,桃園市龍潭區北龍路148號,06:15~22:30,"24.8663974,121.2147148",03-479-1185,麵包烘培門市
龍潭中正店,桃園市龍潭區中正路237號,07:00~23:00,"24.8637929,121.2173273",03-489-8985,
龍潭龍平店,桃園市龍潭區中豐路590號1樓,06:30~22:30,"24.88546760135263, 121.21242789704135",03-479-8858 0906-528585,
桃園萬壽店,桃園市龜山區陸光路一號,07:00~22:30,"24.99393455150149, 121.33352745416337",03-320-2003,
林口長庚店,桃園市龜山區復興一路140號,07:00~24:00,"25.0585734,121.366971",03-318-2952,
迴龍龍華店,桃園市龜山區萬壽路一段302號,06:00~22:00,"25.0174825,121.4028468",02-8200-3385,
376,,,,,
